Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em ABRIL / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
10;59.588.111;BANCO VOTORANTIM S.A.; 75 ; 419.482.534 ; 648 ; 355.956.390 ; 181 ; 403.580.652 ; 576 ; 391.829.622 ; 1.480 ; 1.570.849.198 ; 127 ; 3.218.566.743 ; 544 ; 3.257.734.080 ; 671 ; 6.476.300.823 ; 2.151 ; 8.047.150.021 ;;;;
11;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 186 ; 941.847.091 ; 659 ; 702.435.416 ; 309 ; 614.943.701 ; 849 ; 748.495.063 ; 2.003 ; 3.007.721.271 ; 164 ; 2.024.559.017 ; 162 ; 1.522.187.575 ; 326 ; 3.546.746.592 ; 2.329 ; 6.554.467.864 ;;;;
12;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 1 ; 2.500.000 ; 1 ; 160.000 ; 135 ; 636.755.229 ; 259 ; 1.638.304.737 ; 396 ; 2.277.719.966 ; 82 ; 2.468.179.359 ; 67 ; 1.671.250.124 ; 149 ; 4.139.429.483 ; 545 ; 6.417.149.449 ;;;;
13;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÈLTIPLO S.A.; 41 ; 354.074.801 ; 20 ; 17.241.027 ; 169 ; 1.707.196.035 ; 208 ; 1.700.344.772 ; 438 ; 3.778.856.635 ; 97 ; 1.195.782.915 ; 48 ; 981.353.323 ; 145 ; 2.177.136.239 ; 583 ; 5.955.992.874 ;;;;
14;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 392 ; 2.659.021.818 ; 563 ; 1.063.625.294 ; 955 ; 3.722.647.112 ; 12 ; 282.927.502 ; 72 ; 1.890.922.348 ; 84 ; 2.173.849.850 ; 1.039 ; 5.896.496.962 ;;;;
15;61.820.817;BANCO PAULISTA S.A.; 27 ; 2.957.025 ; 429 ; 39.968.208 ; 1.357 ; 95.135.692 ; 2.594 ; 221.765.373 ; 4.407 ; 359.826.299 ; 1.365 ; 2.224.813.472 ; 9.141 ; 2.059.524.111 ; 10.506 ; 4.284.337.582 ; 14.913 ; 4.644.163.881 ;;;;
16;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 26 ; 32.586.429 ;;; 45 ; 1.931.193.230 ; 52 ; 162.494.029 ; 123 ; 2.126.273.688 ; 2 ; 24.885.900 ; 21 ; 1.766.769.350 ; 23 ; 1.791.655.250 ; 146 ; 3.917.928.938 ;;;;
17;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 132 ; 80.725.547 ; 476 ; 141.317.111 ; 485 ; 245.826.247 ; 507 ; 90.419.859 ; 1.600 ; 558.288.763 ; 329 ; 1.381.742.729 ; 386 ; 1.461.948.599 ; 715 ; 2.843.691.329 ; 2.315 ; 3.401.980.092 ;;;;
18;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 12 ; 11.517.750 ; 226 ; 32.905.133 ; 150 ; 603.785.979 ; 282 ; 742.281.444 ; 670 ; 1.390.490.306 ; 184 ; 1.089.668.896 ; 180 ; 719.687.497 ; 364 ; 1.809.356.393 ; 1.034 ; 3.199.846.699 ;;;;
19;61.146.577;BANCO BARCLAYS S.A.; 1 ; 10.000.000 ; 6 ; 28.331.500 ; 95 ; 591.592.805 ; 90 ; 376.873.340 ; 192 ; 1.006.797.645 ; 184 ; 980.301.885 ; 221 ; 1.100.680.270 ; 405 ; 2.080.982.154 ; 597 ; 3.087.779.799 ;;;;
20;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 19 ; 471.526 ; 408 ; 17.049.916 ; 161 ; 16.054.942 ; 702 ; 37.141.695 ; 1.290 ; 70.718.079 ; 1.086 ; 1.051.685.470 ; 10.299 ; 1.011.732.635 ; 11.385 ; 2.063.418.105 ; 12.675 ; 2.134.136.184 ;;;;
21;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 119 ; 737.183.611 ; 255 ; 810.761.334 ; 374 ; 1.547.944.945 ; 6 ; 171.936.480 ; 6 ; 222.402.580 ; 12 ; 394.339.060 ; 386 ; 1.942.284.005 ;;;;
22;58.160.789;BANCO SAFRA S.A.; 235 ; 350.941.733 ; 979 ; 111.177.952 ; 770 ; 164.343.728 ; 3.602 ; 264.303.789 ; 5.586 ; 890.767.201 ; 210 ; 195.030.410 ; 212 ; 356.268.908 ; 422 ; 551.299.318 ; 6.008 ; 1.442.066.520 ;;;;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 48 ; 162.978.620 ; 33 ; 23.934.472 ; 65 ; 130.838.801 ; 253 ; 92.480.537 ; 399 ; 410.232.430 ; 38 ; 370.731.941 ; 40 ; 468.788.630 ; 78 ; 839.520.571 ; 477 ; 1.249.753.001 ;;;;
24;68.900.810;BANCO RENDIMENTO S.A.; 8 ; 552.360 ; 141 ; 5.549.137 ; 3.441 ; 35.726.110 ; 3.111 ; 195.158.737 ; 6.701 ; 236.986.344 ; 389 ; 571.718.299 ; 7.135 ; 412.555.842 ; 7.524 ; 984.274.141 ; 14.225 ; 1.221.260.485 ;;;;
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 97 ; 93.169.790 ; 375 ; 58.298.205 ; 324 ; 374.224.483 ; 497 ; 54.933.983 ; 1.293 ; 580.626.461 ; 59 ; 70.044.278 ; 87 ; 424.338.843 ; 146 ; 494.383.120 ; 1.439 ; 1.075.009.581 ;;;;
26;62.232.889;BANCO DAYCOVAL S.A.; 115 ; 23.731.407 ; 490 ; 91.798.040 ; 504 ; 15.446.670 ; 4.042 ; 96.279.208 ; 5.151 ; 227.255.324 ; 290 ; 409.367.033 ; 453 ; 221.510.475 ; 743 ; 630.877.508 ; 5.894 ; 858.132.833 ;;;;
27;00.360.305;CAIXA ECONOMICA FEDERAL; 99 ; 15.777.449 ; 223 ; 5.898.970 ; 4.240 ; 60.675.909 ; 9.849 ; 123.631.887 ; 14.411 ; 205.984.216 ; 135 ; 297.257.970 ; 127 ; 240.754.694 ; 262 ; 538.012.665 ; 14.673 ; 743.996.880 ;;;;
28;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 18 ; 140.011.096 ; 6 ; 84.754.203 ; 23 ; 1.572.394 ; 31 ; 42.138.815 ; 78 ; 268.476.507 ; 32 ; 223.154.233 ; 53 ; 202.802.230 ; 85 ; 425.956.463 ; 163 ; 694.432.970 ;;;;
29;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.;;; 1 ; 30.017 ; 9 ; 885.720 ; 48 ; 15.985.404 ; 58 ; 16.901.140 ; 45 ; 299.981.155 ; 67 ; 309.000.540 ; 112 ; 608.981.695 ; 170 ; 625.882.835 ;;;;
30;92.894.922;BANCO ORIGINAL S.A.; 13 ; 224.666.840 ; 2 ; 1.800.159 ;;; 12 ; 18.631.848 ; 27 ; 245.098.847 ; 5 ; 67.956.477 ; 11 ; 252.000.000 ; 16 ; 319.956.477 ; 43 ; 565.055.324 ;;;;
31;28.195.667;BANCO ABC BRASIL S.A.; 60 ; 69.350.067 ; 146 ; 18.922.662 ; 22 ; 1.733.790 ; 247 ; 42.065.230 ; 475 ; 132.071.749 ; 7 ; 29.988.917 ; 18 ; 370.703.042 ; 25 ; 400.691.959 ; 500 ; 532.763.708 ;;;;
32;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 7 ; 9.515.264 ; 7 ; 383.123 ; 4 ; 6.527 ; 4 ; 19.336 ; 22 ; 9.924.250 ; 45 ; 233.750.000 ; 62 ; 252.250.000 ; 107 ; 486.000.000 ; 129 ; 495.924.250 ;;;;
33;15.114.366;BANCO BBM S/A; 15 ; 11.350.083 ; 8 ; 29.853.650 ; 22 ; 2.025.895 ; 52 ; 1.873.637 ; 97 ; 45.103.265 ; 22 ; 280.594.730 ; 19 ; 148.592.462 ; 41 ; 429.187.192 ; 138 ; 474.290.458 ;;;;
34;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 168 ; 122.575.235 ; 163 ; 17.662.277 ; 64 ; 5.957.733 ; 257 ; 53.336.821 ; 652 ; 199.532.066 ; 31 ; 131.776.692 ; 34 ; 107.457.914 ; 65 ; 239.234.606 ; 717 ; 438.766.672 ;;;;
35;52.937.216;BEXS CORRETORA DE C∂MBIO S/A;;;;; 204 ; 663.599 ; 3.533 ; 29.303.641 ; 3.737 ; 29.967.240 ; 662 ; 215.346.759 ; 171 ; 186.708.665 ; 833 ; 402.055.424 ; 4.570 ; 432.022.664 ;;;;
36;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 119 ; 164.550.649 ; 118 ; 15.817.395 ; 237 ; 180.368.045 ; 3 ; 51.000.000 ; 59 ; 200.450.000 ; 62 ; 251.450.000 ; 299 ; 431.818.045 ;;;;
37;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 13 ; 208.000.000 ;;; 13 ; 208.000.000 ;;; 13 ; 208.000.000 ; 13 ; 208.000.000 ; 26 ; 416.000.000 ;;;;
38;49.336.860;ING BANK N.V.; 29 ; 149.010.896 ; 2 ; 23.100.000 ; 19 ; 155.348.814 ; 53 ; 3.345.385 ; 103 ; 330.805.095 ; 4 ; 37.948.600 ; 3 ; 17.977.500 ; 7 ; 55.926.100 ; 110 ; 386.731.195 ;;;;
39;71.027.866;BANCO BONSUCESSO S.A.;;; 1 ; 1.680 ; 54 ; 685.115 ; 266 ; 8.703.234 ; 321 ; 9.390.029 ; 162 ; 185.303.317 ; 452 ; 177.076.818 ; 614 ; 362.380.135 ; 935 ; 371.770.164 ;;;;
40;13.059.145;BEXS BANCO DE C∂MBIO S/A; 15 ; 14.454.612 ; 141 ; 6.491.458 ; 145 ; 9.254.800 ; 366 ; 32.178.897 ; 667 ; 62.379.767 ; 269 ; 161.155.121 ; 292 ; 145.397.784 ; 561 ; 306.552.906 ; 1.228 ; 368.932.672 ;;;;
41;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 721 ; 89.530.661 ; 1.260 ; 70.887.066 ; 329 ; 52.617.574 ; 1.736 ; 21.853.817 ; 4.046 ; 234.889.118 ; 33 ; 42.154.797 ; 38 ; 90.198.838 ; 71 ; 132.353.635 ; 4.117 ; 367.242.753 ;;;;
42;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 13 ; 47.281.749 ; 10 ; 3.161.737 ; 17 ; 17.031.163 ; 76 ; 12.220.224 ; 116 ; 79.694.873 ; 68 ; 121.124.805 ; 70 ; 163.789.124 ; 138 ; 284.913.929 ; 254 ; 364.608.803 ;;;;
43;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 2 ; 251.583 ;;; 126 ; 141.032.397 ; 163 ; 29.144.958 ; 291 ; 170.428.937 ; 37 ; 38.216.344 ; 39 ; 148.292.865 ; 76 ; 186.509.209 ; 367 ; 356.938.147 ;;;;
44;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 49 ; 1.946.993 ; 421 ; 10.847.734 ; 482 ; 5.179.783 ; 1.672 ; 112.373.755 ; 2.624 ; 130.348.264 ; 3.609 ; 162.269.795 ; 104 ; 46.289.983 ; 3.713 ; 208.559.777 ; 6.337 ; 338.908.042 ;;;;
45;33.923.798;BANCO MµXIMA S.A.; 44 ; 1.043.346 ; 296 ; 12.492.245 ; 68 ; 24.227.363 ; 327 ; 37.373.526 ; 735 ; 75.136.480 ; 278 ; 126.522.995 ; 1.274 ; 84.584.233 ; 1.552 ; 211.107.228 ; 2.287 ; 286.243.708 ;;;;
46;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.;;;;; 1.032 ; 8.540.921 ; 6.539 ; 97.689.647 ; 7.571 ; 106.230.568 ; 2.188 ; 131.179.959 ; 121 ; 41.755.629 ; 2.309 ; 172.935.588 ; 9.880 ; 279.166.156 ;;;;
47;09.516.419;BANCO ORIGINAL DO AGRONEG‡CIO S.A.; 2 ; 117.000 ; 3 ; 68.560 ; 7 ; 6.408.359 ; 108 ; 540.123 ; 120 ; 7.134.042 ; 5 ; 129.195.096 ; 8 ; 134.956.477 ; 13 ; 264.151.573 ; 133 ; 271.285.615 ;;;;
48;78.632.767;BANCO OURINVEST S.A.; 1 ; 6.732.057 ; 27 ; 3.129.591 ; 134 ; 1.407.192 ; 529 ; 8.568.038 ; 691 ; 19.836.878 ; 221 ; 110.830.477 ; 2.921 ; 108.369.183 ; 3.142 ; 219.199.659 ; 3.833 ; 239.036.537 ;;;;
49;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 5 ; 54.134 ; 111 ; 4.054.471 ; 385 ; 3.064.449 ; 2.313 ; 40.912.814 ; 2.814 ; 48.085.868 ; 1.824 ; 111.601.161 ; 252 ; 69.622.689 ; 2.076 ; 181.223.850 ; 4.890 ; 229.309.719 ;;;;
50;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 23 ; 1.092.160 ; 1.514 ; 72.441.622 ; 146 ; 2.311.623 ; 2.158 ; 36.430.524 ; 3.841 ; 112.275.929 ; 1.180 ; 108.324.127 ; 22 ; 1.451.296 ; 1.202 ; 109.775.423 ; 5.043 ; 222.051.352 ;;;;
51;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 21 ; 477.215 ; 111 ; 1.624.528 ; 932 ; 9.628.308 ; 7.800 ; 103.018.712 ; 8.864 ; 114.748.763 ; 806 ; 94.458.123 ; 5 ; 167.357 ; 811 ; 94.625.480 ; 9.675 ; 209.374.243 ;;;;
52;62.144.175;BANCO PINE S.A.; 11 ; 6.222.982 ; 37 ; 11.575.594 ; 7 ; 407.433 ; 68 ; 55.530.312 ; 123 ; 73.736.320 ; 5 ; 92.923.951 ; 4 ; 32.918.570 ; 9 ; 125.842.521 ; 132 ; 199.578.841 ;;;;
53;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 4 ; 89.094 ; 1.151 ; 85.918.547 ; 265 ; 845.163 ; 4.669 ; 9.052.939 ; 6.089 ; 95.905.743 ; 893 ; 94.732.604 ; 19 ; 760.584 ; 912 ; 95.493.188 ; 7.001 ; 191.398.931 ;;;;
54;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 6 ; 16.913.000 ; 18 ; 41.249.070 ; 11 ; 37.791.270 ; 47 ; 1.715.872 ; 82 ; 97.669.212 ; 8 ; 38.683.492 ; 8 ; 50.433.342 ; 16 ; 89.116.835 ; 98 ; 186.786.047 ;;;;
55;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 12 ; 732.362 ; 22 ; 618.465 ; 26 ; 1.625.140 ; 123 ; 4.566.716 ; 183 ; 7.542.683 ; 59 ; 89.791.550 ; 50 ; 87.689.800 ; 109 ; 177.481.350 ; 292 ; 185.024.033 ;;;;
56;10.690.848;BANCO DA CHINA BRASIL S.A.; 6 ; 17.079.862 ; 34 ; 10.485.968 ; 10 ; 62.340.436 ; 33 ; 245.441 ; 83 ; 90.151.707 ; 19 ; 10.383.000 ; 19 ; 79.050.000 ; 38 ; 89.433.000 ; 121 ; 179.584.707 ;;;;
57;16.944.141;BROKER BRASIL CORRETORA DE C∂MBIO LTDA.;;; 150 ; 4.954.320 ; 129 ; 1.090.817 ; 1.046 ; 72.894.927 ; 1.325 ; 78.940.064 ; 1.033 ; 84.898.689 ; 93 ; 8.754.316 ; 1.126 ; 93.653.005 ; 2.451 ; 172.593.069 ;;;;
58;03.609.817;BANCO CARGILL S.A.; 10 ; 45.751.209 ; 13 ; 889.947 ; 1 ; 125.000 ; 25 ; 28.287.453 ; 49 ; 75.053.609 ; 5 ; 28.575.000 ; 8 ; 44.750.000 ; 13 ; 73.325.000 ; 62 ; 148.378.609 ;;;;
59;58.616.418;BANCO FIBRA S.A.; 58 ; 30.796.406 ; 168 ; 11.970.719 ; 81 ; 2.840.249 ; 197 ; 14.349.164 ; 504 ; 59.956.539 ; 52 ; 32.944.020 ; 36 ; 34.630.043 ; 88 ; 67.574.064 ; 592 ; 127.530.603 ;;;;
60;13.728.156;WESTERN UNION CORRETORA DE C∂MBIO S.A.;;; 41 ; 706.869 ; 449 ; 13.368.055 ; 1.436 ; 55.095.171 ; 1.926 ; 69.170.095 ; 897 ; 51.981.945 ; 160 ; 4.004.814 ; 1.057 ; 55.986.760 ; 2.983 ; 125.156.855 ;;;;
61;33.886.862;MAXIMA S.A. CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS;;;;; 96 ; 454.555 ; 3.137 ; 61.091.664 ; 3.233 ; 61.546.219 ; 418 ; 62.556.050 ; 5 ; 180.258 ; 423 ; 62.736.308 ; 3.656 ; 124.282.526 ;;;;
62;12.586.596;MULTIMONEY CORRETORA DE C∂MBIO LTDA; 15 ; 994.216 ; 198 ; 4.989.658 ; 380 ; 1.997.965 ; 1.964 ; 26.424.896 ; 2.557 ; 34.406.735 ; 1.001 ; 58.389.522 ; 501 ; 29.649.122 ; 1.502 ; 88.038.643 ; 4.059 ; 122.445.378 ;;;;
63;92.856.905;ADVANCED CORRETORA DE C∂MBIO LTDA; 43 ; 1.153.410 ; 1.183 ; 33.752.751 ; 663 ; 8.664.609 ; 2.501 ; 25.219.712 ; 4.390 ; 68.790.483 ; 638 ; 50.787.231 ; 53 ; 1.565.277 ; 691 ; 52.352.507 ; 5.081 ; 121.142.990 ;;;;
64;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 30 ; 885.161 ; 874 ; 23.553.453 ; 636 ; 9.821.994 ; 2.831 ; 32.128.348 ; 4.371 ; 66.388.956 ; 400 ; 45.172.171 ; 5 ; 222.951 ; 405 ; 45.395.122 ; 4.776 ; 111.784.078 ;;;;
65;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 8 ; 36.062.466 ; 2 ; 212.740 ; 14 ; 9.111.315 ; 14 ; 5.273.467 ; 38 ; 50.659.988 ; 19 ; 11.040.097 ; 24 ; 45.528.532 ; 43 ; 56.568.629 ; 81 ; 107.228.617 ;;;;
66;72.760.713;RENOVA S.A. CORRETORA DE C∂MBIO; 4 ; 195.176 ; 59 ; 1.474.588 ; 362 ; 1.574.377 ; 1.459 ; 13.101.414 ; 1.884 ; 16.345.554 ; 668 ; 46.438.813 ; 38 ; 33.638.416 ; 706 ; 80.077.229 ; 2.590 ; 96.422.784 ;;;;
67;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 643 ; 36.284.662 ; 296 ; 13.041.050 ; 107 ; 4.003.019 ; 413 ; 4.661.975 ; 1.459 ; 57.990.706 ; 20 ; 7.602.500 ; 77 ; 29.910.037 ; 97 ; 37.512.537 ; 1.556 ; 95.503.243 ;;;;
68;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 45 ; 1.743.738 ; 982 ; 33.030.503 ; 364 ; 7.408.267 ; 1.575 ; 10.652.291 ; 2.966 ; 52.834.799 ; 312 ; 38.204.762 ; 11 ; 3.768.490 ; 323 ; 41.973.252 ; 3.289 ; 94.808.052 ;;;;
69;11.495.073;OM DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS LTDA;;; 38 ; 1.704.611 ; 436 ; 1.710.256 ; 1.592 ; 24.643.434 ; 2.066 ; 28.058.301 ; 990 ; 44.199.407 ; 87 ; 19.984.329 ; 1.077 ; 64.183.735 ; 3.143 ; 92.242.036 ;;;;
70;61.024.352;BANCO INDUSVAL S.A.; 58 ; 23.185.233 ; 27 ; 2.229.820 ; 21 ; 481.268 ; 89 ; 10.576.519 ; 195 ; 36.472.839 ; 32 ; 24.757.504 ; 46 ; 30.639.010 ; 78 ; 55.396.514 ; 273 ; 91.869.353 ;;;;
71;59.285.411;BANCO PANAMERICANO S.A.; 18 ; 28.546.074 ;;; 5 ; 144.880 ; 28 ; 22.475.074 ; 51 ; 51.166.029 ; 1 ; 21.250.000 ; 7 ; 16.350.000 ; 8 ; 37.600.000 ; 59 ; 88.766.029 ;;;;
72;30.723.886;BANCO MODAL S.A.; 4 ; 419.180 ; 69 ; 5.718.301 ; 11 ; 23.997.179 ; 53 ; 7.890.436 ; 137 ; 38.025.096 ; 11 ; 15.099.515 ; 14 ; 28.340.536 ; 25 ; 43.440.052 ; 162 ; 81.465.148 ;;;;
73;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 261 ; 14.055.315 ; 324 ; 10.869.665 ; 112 ; 3.079.282 ; 246 ; 13.192.125 ; 943 ; 41.196.387 ; 23 ; 21.424.005 ; 14 ; 14.596.771 ; 37 ; 36.020.776 ; 980 ; 77.217.162 ;;;;
74;15.357.060;BANCO WOORI BANK DO BRASIL S.A.;;; 16 ; 13.084.575 ; 16 ; 21.971.528 ; 170 ; 10.127.207 ; 202 ; 45.183.311 ; 16 ; 15.900.000 ; 6 ; 14.600.000 ; 22 ; 30.500.000 ; 224 ; 75.683.311 ;;;;
75;15.230.501;CATEDRAL CORRETORA DE C∂MBIO E T÷TULOS MOBILIµRIOS LTDA.;;;;;;; 1.533 ; 37.682.016 ; 1.533 ; 37.682.016 ; 104 ; 37.679.642 ;;; 104 ; 37.679.642 ; 1.637 ; 75.361.659 ;;;;
76;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 5 ; 4.360.800 ; 13 ; 4.952.541 ; 11 ; 7.975.652 ; 93 ; 18.944.357 ; 122 ; 36.233.351 ; 23 ; 24.006.717 ; 11 ; 12.756.960 ; 34 ; 36.763.677 ; 156 ; 72.997.028 ;;;;
77;00.997.185;BANCO BM&FBOVESPA DE SERVIÄOS DE LIQUIDAÄ«O E CUST‡DIA S.A.;;;;; 33 ; 15.915.234 ; 25 ; 19.682.155 ; 58 ; 35.597.389 ; 20 ; 19.655.000 ; 19 ; 15.861.000 ; 39 ; 35.516.000 ; 97 ; 71.113.389 ;;;;
78;67.391.821;S. HAYATA CORRETORA DE C∂MBIO S.A.; 7 ; 123.681 ; 272 ; 11.471.943 ; 89 ; 773.729 ; 4.876 ; 22.809.883 ; 5.244 ; 35.179.237 ; 723 ; 33.915.313 ; 2 ; 450.000 ; 725 ; 34.365.313 ; 5.969 ; 69.544.550 ;;;;
79;02.318.507;BANCO KEB DO BRASIL S.A.; 1 ; 40.000 ; 18 ; 8.443.978 ; 39 ; 23.279.407 ; 244 ; 5.067.278 ; 302 ; 36.830.663 ; 15 ; 11.375.000 ; 9 ; 21.166.000 ; 24 ; 32.541.000 ; 326 ; 69.371.663 ;;;;
