Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
47;15.114.366;BANCO BOCOM BBM S.A.; 7 ; 3.344.803 ; 4 ; 644.159 ; 30 ; 29.076.128 ; 147 ; 17.614.150 ; 188 ; 50.679.240 ; 6 ; 41.500.000 ; 14 ; 115.000.000 ; 20 ; 156.500.000 ; 208 ; 207.179.240 ;
48;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 3 ; 45.538.183 ;;; 25 ; 116.833.783 ; 6 ; 300.771 ; 34 ; 162.672.737 ;;; 2 ; 40.059.115 ; 2 ; 40.059.115 ; 36 ; 202.731.852 ;
49;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 193 ; 4.313.554 ; 918 ; 24.123.183 ; 2.720 ; 34.705.011 ; 2.607 ; 32.783.282 ; 6.438 ; 95.925.030 ; 522 ; 49.211.453 ; 342 ; 31.630.036 ; 864 ; 80.841.489 ; 7.302 ; 176.766.519 ;
50;00.997.185;BANCO B3 S.A.;;;;; 100 ; 40.818.118 ; 115 ; 71.870.789 ; 215 ; 112.688.907 ; 55 ; 45.338.000 ; 27 ; 14.326.986 ; 82 ; 59.664.986 ; 297 ; 172.353.893 ;
51;45.246.410;PLURAL S.A. BANCO MÚLTIPLO; 17 ; 2.116.493 ; 44 ; 2.585.195 ; 171 ; 7.982.575 ; 366 ; 80.588.158 ; 598 ; 93.272.421 ; 50 ; 73.637.184 ; 11 ; 561.044 ; 61 ; 74.198.228 ; 659 ; 167.470.649 ;
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 229 ; 6.800.249 ; 1.914 ; 33.241.753 ; 1.698 ; 15.430.045 ; 3.334 ; 28.152.256 ; 7.175 ; 83.624.302 ; 546 ; 56.468.600 ; 175 ; 17.411.282 ; 721 ; 73.879.882 ; 7.896 ; 157.504.184 ;
53;10.690.848;BANCO DA CHINA BRASIL S.A.; 11 ; 3.621.345 ; 13 ; 2.691.930 ; 11 ; 60.183.680 ; 27 ; 8.309.494 ; 62 ; 74.806.449 ; 11 ; 10.850.000 ; 13 ; 63.679.050 ; 24 ; 74.529.050 ; 86 ; 149.335.499 ;
54;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;;;; 1 ; 44.673.989 ; 1 ; 44.673.989 ;;; 1 ; 89.806.915 ; 1 ; 89.806.915 ; 2 ; 134.480.904 ;
55;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 1 ; 120.000 ; 15 ; 1.974.070 ; 18 ; 34.093.699 ; 56 ; 44.036.970 ; 90 ; 80.224.739 ; 10 ; 25.470.518 ; 4 ; 18.981.304 ; 14 ; 44.451.822 ; 104 ; 124.676.561 ;
56;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 27 ; 1.513.293 ; 29 ; 1.692.815 ; 3.222 ; 54.381.320 ; 219 ; 3.419.452 ; 3.497 ; 61.006.880 ; 65 ; 2.873.751 ; 119 ; 53.656.099 ; 184 ; 56.529.851 ; 3.681 ; 117.536.731 ;
